Order_ID,Date,Customer,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD-1000,2023-04-25,Customer_16,East,Technology,Keyboard,3,370.87,0.25,834.46,156.46
ORD-1001,2023-01-16,Customer_3,East,Office Supplies,Paper,2,117.13,0.2,187.41,29.99
ORD-1002,2023-11-29,Customer_46,East,Office Supplies,Notebook,9,215.56,0.15,1649.03,280.34
ORD-1003,2023-08-05,Customer_45,North,Technology,Monitor,6,146.16,0.05,833.11,197.86
ORD-1004,2023-02-19,Customer_25,North,Technology,Laptop,6,425.27,0.2,2041.3,408.26
ORD-1005,2023-03-05,Customer_35,North,Technology,Mouse,7,48.61,0.1,306.24,68.9
ORD-1006,2023-02-05,Customer_46,North,Office Supplies,Notebook,1,334.02,0.3,233.81,32.73
ORD-1007,2023-07-14,Customer_7,North,Technology,Monitor,5,232.17,0.3,812.59,142.2
ORD-1008,2023-04-18,Customer_23,North,Technology,Keyboard,5,353.89,0.25,1327.09,248.83
ORD-1009,2023-05-06,Customer_35,East,Office Supplies,Notebook,3,236.51,0.1,638.58,114.94
ORD-1010,2023-01-29,Customer_50,West,Office Supplies,Stapler,4,412.68,0.3,1155.5,161.77
ORD-1011,2023-04-19,Customer_5,North,Furniture,Bookshelf,10,439.42,0.1,3954.78,533.9
ORD-1012,2023-11-26,Customer_26,West,Office Supplies,Paper,8,80.01,0.05,608.08,115.54
ORD-1013,2023-05-15,Customer_35,West,Office Supplies,Binder,10,219.93,0.2,1759.44,281.51
ORD-1014,2023-09-18,Customer_9,South,Furniture,Desk,8,54.55,0.0,436.4,65.46
ORD-1015,2023-08-05,Customer_44,East,Technology,Monitor,10,41.13,0.15,349.61,74.29
ORD-1016,2023-01-06,Customer_36,South,Office Supplies,Stapler,2,344.04,0.2,550.46,88.07
ORD-1017,2023-05-31,Customer_8,North,Office Supplies,Stapler,7,87.5,0.0,612.5,122.5
ORD-1018,2023-02-24,Customer_33,North,Office Supplies,Notebook,5,422.42,0.2,1689.68,270.35
ORD-1019,2023-03-24,Customer_49,West,Technology,Keyboard,9,477.21,0.2,3435.91,687.18
ORD-1020,2023-01-10,Customer_32,East,Office Supplies,Stapler,2,465.26,0.3,651.36,91.19
ORD-1021,2023-10-18,Customer_16,North,Technology,Laptop,2,51.97,0.15,88.35,18.77
ORD-1022,2023-12-04,Customer_9,East,Office Supplies,Notebook,8,473.96,0.05,3602.1,684.4
ORD-1023,2023-04-19,Customer_28,North,Office Supplies,Binder,9,380.08,0.25,2565.54,384.83
ORD-1024,2023-12-10,Customer_26,West,Office Supplies,Stapler,6,224.67,0.2,1078.42,172.55
ORD-1025,2023-02-02,Customer_15,South,Technology,Monitor,6,20.31,0.2,97.49,19.5
ORD-1026,2023-02-06,Customer_1,West,Office Supplies,Notebook,1,122.18,0.0,122.18,24.44
ORD-1027,2023-05-23,Customer_16,North,Technology,Printer,8,114.98,0.05,873.85,207.54
ORD-1028,2023-04-08,Customer_27,South,Technology,Mouse,2,57.5,0.15,97.75,20.77
ORD-1029,2023-01-28,Customer_30,North,Furniture,Cabinet,2,39.7,0.25,59.55,6.7
ORD-1030,2023-04-08,Customer_13,North,Technology,Monitor,9,229.82,0.15,1758.12,373.6
ORD-1031,2023-02-08,Customer_16,West,Furniture,Cabinet,8,405.93,0.3,2273.21,238.69
ORD-1032,2023-02-17,Customer_1,East,Technology,Printer,4,91.49,0.15,311.07,66.1
ORD-1033,2023-03-26,Customer_4,South,Technology,Mouse,7,11.06,0.15,65.81,13.98
ORD-1034,2023-12-23,Customer_28,North,Furniture,Bookshelf,9,334.32,0.15,2557.55,326.09
ORD-1035,2023-01-30,Customer_14,West,Technology,Keyboard,10,370.51,0.0,3705.1,926.27
ORD-1036,2023-09-02,Customer_38,North,Technology,Laptop,9,460.5,0.2,3315.6,663.12
ORD-1037,2023-04-06,Customer_6,West,Technology,Printer,2,301.57,0.25,452.36,84.82
ORD-1038,2023-05-07,Customer_37,West,Furniture,Chair,10,301.31,0.2,2410.48,289.26
ORD-1039,2023-09-25,Customer_37,East,Furniture,Sofa,6,468.01,0.05,2667.66,380.14
ORD-1040,2023-03-09,Customer_26,North,Technology,Keyboard,5,234.04,0.3,819.14,143.35
ORD-1041,2023-10-16,Customer_40,East,Technology,Mouse,2,45.9,0.05,87.21,20.71
ORD-1042,2023-05-06,Customer_5,North,Technology,Keyboard,6,149.64,0.15,763.16,162.17
ORD-1043,2023-12-08,Customer_1,North,Office Supplies,Binder,9,156.7,0.25,1057.72,158.66
ORD-1044,2023-02-24,Customer_8,East,Technology,Keyboard,9,86.17,0.1,697.98,157.05
ORD-1045,2023-12-18,Customer_14,West,Office Supplies,Stapler,5,257.65,0.1,1159.42,208.7
ORD-1046,2023-01-23,Customer_18,East,Technology,Mouse,1,173.44,0.05,164.77,39.13
ORD-1047,2023-12-28,Customer_36,North,Technology,Mouse,7,284.84,0.0,1993.88,498.47
ORD-1048,2023-01-19,Customer_35,East,Office Supplies,Notebook,6,295.43,0.05,1683.95,319.95
ORD-1049,2023-07-06,Customer_20,South,Technology,Laptop,1,450.47,0.05,427.95,101.64
ORD-1050,2023-10-14,Customer_23,West,Office Supplies,Pen Set,7,487.18,0.25,2557.7,383.65
ORD-1051,2023-07-31,Customer_12,West,Technology,Monitor,1,97.89,0.1,88.1,19.82
ORD-1052,2023-03-23,Customer_18,South,Office Supplies,Notebook,2,197.45,0.0,394.9,78.98
ORD-1053,2023-06-29,Customer_30,South,Technology,Monitor,5,412.06,0.3,1442.21,252.39
ORD-1054,2023-04-09,Customer_43,West,Technology,Laptop,7,170.85,0.3,837.16,146.5
ORD-1055,2023-09-18,Customer_42,East,Furniture,Bookshelf,7,342.96,0.3,1680.5,176.45
ORD-1056,2023-04-02,Customer_17,North,Technology,Laptop,10,481.64,0.1,4334.76,975.32
ORD-1057,2023-06-26,Customer_28,East,Technology,Printer,6,223.83,0.2,1074.38,214.88
ORD-1058,2023-05-11,Customer_13,East,Furniture,Sofa,1,357.3,0.0,357.3,53.59
ORD-1059,2023-12-07,Customer_5,West,Furniture,Cabinet,6,315.35,0.25,1419.08,159.65
ORD-1060,2023-06-08,Customer_33,East,Office Supplies,Stapler,7,169.83,0.25,891.61,133.74
ORD-1061,2023-08-04,Customer_13,North,Office Supplies,Notebook,7,341.89,0.05,2273.57,431.98
ORD-1062,2023-06-05,Customer_1,North,Furniture,Sofa,5,112.99,0.3,395.46,41.52
ORD-1063,2023-12-12,Customer_29,North,Furniture,Cabinet,4,260.48,0.3,729.34,76.58
ORD-1064,2023-09-21,Customer_19,West,Office Supplies,Pen Set,10,174.24,0.3,1219.68,170.76
ORD-1065,2023-04-12,Customer_15,West,Office Supplies,Stapler,3,21.97,0.05,62.61,11.9
ORD-1066,2023-08-01,Customer_30,South,Office Supplies,Pen Set,10,105.27,0.25,789.53,118.43
ORD-1067,2023-03-17,Customer_16,South,Furniture,Cabinet,1,447.4,0.3,313.18,32.88
ORD-1068,2023-12-23,Customer_12,East,Furniture,Desk,9,237.63,0.2,1710.94,205.31
ORD-1069,2023-08-26,Customer_9,West,Technology,Mouse,9,494.07,0.2,3557.3,711.46
ORD-1070,2023-09-16,Customer_47,North,Furniture,Sofa,7,416.98,0.2,2335.09,280.21
ORD-1071,2023-05-13,Customer_29,South,Technology,Mouse,4,421.53,0.1,1517.51,341.44
ORD-1072,2023-08-14,Customer_18,South,Office Supplies,Notebook,2,359.64,0.05,683.32,129.83
ORD-1073,2023-02-11,Customer_35,North,Furniture,Bookshelf,3,83.91,0.15,213.97,27.28
